pid,year,team,leag,ppg,rpg,apg
HOFFMPA01,1947,BA1,N,10.48648649,0,0.621621622

HOLUBDI01,1947,NYK,N,10.5,0,0.770833333

HUBBABO01,1947,PRO,N,5.428571429,0,0.392857143

HUSTOPA01,1947,CH1,N,3.565217391,0,0.586956522

JANISJO01,1947,BOS,N,0,0,0

JANISJO01,1947,TOT,N,3.7,0,0.2

JANISJO01,1947,PRO,N,4.857142857,0,0.285714286

JEANNBU01,1947,BA1,N,10.67391304,0,1.52173913

JORGEJO01,1947,CH1,N,4,0,0

JORGEJO01,1947,BA1,N,2.5,0,0

JORGEJO01,1947,TOT,N,3,0,0

KAPLORA01,1947,PH1,N,3.9375,0,0.395833333

KELLYGE01,1947,PRO,N,2,0,0

KLOTZHE01,1947,BA1,N,1.363636364,0,0.636363636

KNORELE01,1947,NYK,N,5.395833333,0,1.041666667

KUKARA01,1947,NYK,N,5.181818182,0,0.613636364

LEWISGR01,1947,BA1,N,7.095238095,0,1.333333333

LEWISGR01,1947,TOT,N,7,0,0.911111111

LEWISGR01,1947,SL1,N,6.916666667,0,0.541666667

LOGANJO01,1947,ST1,N,13.41666667,0,1.291666667

MAHNKJO01,1947,WSC,N,6.583333333,0,0.645833333

MARIASA01,1947,BOS,N,7.744186047,0,1.395348837

MARTIDO01,1947,ST1,N,2.179487179,0,0.051282051

MARTIDO02,1947,PRO,N,3.15625,0,0.4375

MAUGHAR01,1947,PRO,N,3.928571429,0,0.142857143

MAUGHAR01,1947,TOT,N,4.380952381,0,0.142857143

MAUGHAR01,1947,SL1,N,4.607142857,0,0.142857143

MCKINHO01,1947,WSC,N,11.27906977,0,0.837209302

MCNABCH01,1947,BA1,N,0,0,0

MEARNGE01,1947,PRO,N,2.541666667,0,0.416666667

MEINHCA01,1947,BA1,N,5.270833333,0,0.333333333

MIASEST01,1947,CH1,N,14.91666667,0,0.645833333

MISAKWA01,1947,NYK,N,2.333333333,0,0

MUNROGE01,1947,BOS,N,3.380952381,0,0.142857143

MUSIAN01,1947,PH1,N,7.418604651,0,0.23255814

NOELPA01,1947,NYK,N,3.413793103,0,0.103448276

NORLAJO01,1947,WSC,N,9.770833333,0,0.916666667

NOSTRGE01,1947,PRO,N,11.57777778,0,0.666666667

NOSZKST01,1947,BOS,N,3.545454545,0,0.181818182

OBRIBO01,1947,PH1,N,2.227272727,0,0.045454545

OGRAFR01,1947,ST1,N,3.863636364,0,0.204545455

OKEEDI01,1947,WSC,N,4.216216216,0,0.486486486

PALMEJO01,1947,NYK,N,12.95833333,0,0.9375

PHILLAN01,1947,CH1,N,10.8125,0,2.3125

PUTMADO01,1947,ST1,N,6.357142857,0,0.595238095

REISEJO01,1947,BA1,N,11.5106383,0,0.85106383

RIEBEME01,1947,BOS,N,10.1875,0,0.854166667

ROBBILE01,1947,PRO,N,6.290322581,0,0.225806452

ROCHARE01,1947,ST1,N,12.72916667,0,0.8125

ROCKEJA01,1947,PH1,N,1.888888889,0,0.333333333

ROCKGE01,1947,CH1,N,0,0,0

ROTHEIR01,1947,WSC,N,4.181818182,0,0.090909091

ROTHEIR01,1947,BA1,N,4.357142857,0,0.142857143

ROTHEIR01,1947,SL1,N,7.75,0,0.166666667

ROTHEIR01,1947,TOT,N,5.979591837,0,0.142857143

ROTTNMI01,1947,CH1,N,2.659090909,0,1.045454545

ROUXGI01,1947,ST1,N,3.826086957,0,0.260869565

RULLOJE01,1947,BA1,N,0,0,0

SADOWED01,1947,BOS,N,19.36170213,0,1.574468085

SAILOKE01,1947,CH1,N,0,0,0

SAILOKE01,1947,TOT,N,11.90909091,0,1.340909091

SAILOKE01,1947,PH1,N,2,0,0

SAILOKE01,1947,PRO,N,12.68292683,0,1.43902439

SCHADBE01,1947,CH1,N,1.513513514,0,0.162162162

SCHULDI01,1947,BA1,N,7.979166667,0,0.583333333

SCOLAFR01,1947,WSC,N,12.53191489,0,1.234042553

SEMINJI01,1947,CH1,N,6.229166667,0,1.854166667

SENESGE01,1947,PH1,N,8.808510638,0,1.106382979

SEYMOPA01,1947,BA1,N,3.454545455,0,0.272727273

SHANNEA01,1947,PRO,N,8.044444444,0,1.088888889

SIMMOCO01,1947,BA1,N,10.61538462,0,0.538461538

SIMMOCO01,1947,BOS,N,7.75,0,0.53125

SIMMOCO01,1947,TOT,N,8.577777778,0,0.533333333

SMAWLBE01,1947,ST1,N,11.14583333,0,0.375

SPECTAR01,1947,BOS,N,4.041666667,0,0.354166667

STUMPGE01,1947,BOS,N,3.302325581,0,0.418604651

STUTZST01,1947,NYK,N,7.042553191,0,1.212765957

TANNESI01,1947,NYK,N,10.08333333,0,1.541666667

THURSME01,1947,PRO,N,5.571428571,0,0.285714286

TINGLJA01,1947,WSC,N,2.405405405,0,0.189189189

TOOMAJA01,1947,TOT,N,5.515151515,0,0.212121212

TOOMAJA01,1947,CH1,N,1.526315789,0,0.105263158

TOOMAJA01,1947,PRO,N,10.92857143,0,0.357142857

